ASSIGNMENT_ID,CLAIM_ID,ADJUSTER_ID,ASSIGNMENT_DATE,SCORE,ASSIGNED_BY,EXPLANATION
1,1001,1,05/10/2026,0.87,System,"""Best match: skill"
2,1002,2,05/10/2026,0.92,System,"""High property skill + strong performance"""
3,1003,3,05/11/2026,0.78,System,"""Liability experience + jurisdiction match"""
4,1004,4,05/11/2026,0.9,System,"""Commercial expertise + low workload"""
5,1005,1,05/12/2026,0.8,System,"""Auto specialty + fast cycle times"""
6,1006,5,05/12/2026,0.74,System,"""Moderate workload + skill alignment"""
7,1007,7,05/13/2026,0.81,System,"""Liability experience + acceptable workload"""
8,1008,8,05/13/2026,0.89,System,"""Commercial expertise + strong performance"""
9,1009,6,05/14/2026,0.77,System,"""Auto skill + low cycle time history"""
10,1010,9,05/14/2026,0.83,System,"""Property skill + jurisdiction match"""
11,1011,10,05/15/2026,0.79,System,"""Auto experience + moderate workload"""
12,1012,11,05/15/2026,0.91,System,"""Commercial expertise + strong performance"""
13,1013,12,05/16/2026,0.76,System,"""Liability match + acceptable workload"""
14,1014,13,05/16/2026,0.88,System,"""Property expertise + high satisfaction"""
15,1015,14,05/17/2026,0.72,System,"""Moderate skill alignment"""
16,1016,15,05/17/2026,0.84,System,"""Auto specialty + jurisdiction match"""
17,1017,16,05/18/2026,0.9,System,"""Liability expertise + strong performance"""
18,1018,17,05/18/2026,0.78,System,"""Commercial experience + moderate workload"""
19,1019,18,05/19/2026,0.82,System,"""Auto specialty + low workload"""
20,1020,19,05/19/2026,0.87,System,"""Property skill + strong history"""
21,1021,20,05/20/2026,0.75,System,"""Commercial match + acceptable workload"""
22,1022,21,05/20/2026,0.89,System,"""Auto expertise + high performance"""
23,1023,22,05/21/2026,0.77,System,"""Liability match + moderate workload"""
24,1024,23,05/21/2026,0.92,System,"""Property expertise + strong metrics"""
25,1025,24,05/22/2026,0.8,System,"""Commercial match + low workload"""
26,1026,25,05/22/2026,0.73,System,"""Auto skill alignment"""
27,1027,26,05/23/2026,0.88,System,"""Property expertise + high satisfaction"""
28,1028,27,05/23/2026,0.79,System,"""Liability match + acceptable workload"""
29,1029,28,05/24/2026,0.91,System,"""Commercial expertise + strong performance"""
30,1030,29,05/24/2026,0.74,System,"""Auto specialty + moderate workload"""
31,1031,30,05/25/2026,0.86,System,"""Property match + strong metrics"""
32,1032,31,05/25/2026,0.82,System,"""Commercial expertise + jurisdiction match"""
33,1033,32,05/26/2026,0.78,System,"""Liability match + moderate workload"""
